episode_id,begin_utc,end_utc,states,n_events,n_lsr,fatalities,injuries,damage_usd,n_counties,county_fips,min_lat,min_lon,max_lat,max_lon,max_roll_6h_mm,max_roll_12h_mm,max_roll_24h_mm,max_roll_72h_mm,max_ari_years,max_ari_duration,mrms_product
157626,2021-05-04 15,2021-05-04 21,WV,3,3,0,0,40000,2,54017;54085,39.21,-81.02,39.349999999999994,-80.82000000000001,,,,,,,
157649,2021-05-04 16,2021-05-04 18,NC,1,1,0,0,0,1,37039,34.99,-84.27,35.11,-84.13000000000001,,,,,,,
158634,2021-05-04 16,2021-05-04 19,MS,3,2,0,0,8000,3,28011;28025;28105,33.47,-90.75,33.78,-88.77,,,,,,,
158599,2021-05-04 18,2021-05-04 21,VA,1,1,0,0,2500,1,51770,37.220000000000006,-80.0,37.33,-79.89,,,,,,,
158632,2021-05-04 18,2021-05-04 20,AR,1,1,0,0,3000,1,05017,33.480000000000004,-91.48,33.599999999999994,-91.36,,,,,,,
157605,2021-05-04 21,2021-05-04 23,VA,1,1,0,0,0,1,51171,38.67,-78.69,38.779999999999994,-78.55,,,,,,,
156673,2021-05-04 23,2021-05-05 08,AL,2,3,0,0,0,2,01043;01089,34.29,-86.86,34.71,-86.72,,,,,,,
157833,2021-05-05 01,2021-05-05 04,KY,2,2,0,0,20000,2,21047;21219,36.82,-87.52,36.92,-87.1,,,,,,,
158541,2021-05-05 01,2021-05-05 01,AL,1,2,0,0,0,1,01097,30.63,-88.16,30.75,-88.04,,,,,,,
158815,2021-05-05 02,2021-05-06 04,PA,4,3,0,0,98000,2,42015;42069,41.400000000000006,-75.65,41.599999999999994,-75.53,,,,,,,
158910,2021-05-05 11,2021-05-05 13,AL,1,1,0,0,0,1,01003,30.3,-87.71,30.41,-87.60000000000001,,,,,,,
158886,2021-05-05 13,2021-05-05 13,LA,2,2,0,0,0,2,22071;22103,29.99,-90.17,30.39,-89.98,,,,,,,
157731,2021-05-09 15,2021-05-09 18,IN,1,0,0,0,0,1,18127,41.28,-87.25999999999999,41.39,-87.15,,,,,,,
156929,2021-05-10 00,2021-05-10 02,AR,2,2,0,0,0,1,05139,33.11,-92.77,33.21,-92.38,,,,,,,
156930,2021-05-10 00,2021-05-10 10,TX,19,21,0,0,0,5,48005;48073;48347;48403;48405,31.34,-95.03,31.65,-93.82,,,,,,,
156928,2021-05-10 03,2021-05-10 10,LA,1,1,0,0,0,1,22085,31.419999999999998,-93.68,31.61,-93.26,,,,,,,
158883,2021-05-10 08,2021-05-10 08,LA,2,2,0,0,0,2,22051;22071,29.93,-90.22,30.080000000000002,-90.07000000000001,,,,,,,
157205,2021-05-11 23,2021-05-12 02,GA,2,2,0,0,0,1,13087,30.89,-84.57,31.02,-84.42,,,,,,,
158822,2021-05-12 05,2021-05-12 05,LA,1,1,0,0,0,1,22055,30.009999999999998,-92.0,30.17,-91.88000000000001,,,,,,,
157163,2021-05-15 00,2021-05-15 02,TX,1,0,0,0,0,1,48079,33.650000000000006,-102.83,33.779999999999994,-102.7,,,,,,,
158925,2021-05-15 19,2021-05-15 22,TX,2,2,0,0,0,1,48463,29.15,-99.78,29.3,-99.45,,,,,,,
157089,2021-05-15 22,2021-05-16 01,NM,1,2,0,0,250000,1,35041,34.1,-103.36999999999999,34.239999999999995,-103.26,,,,,,,
157910,2021-05-16 01,2021-05-16 03,TX,1,1,0,0,500,1,48165,32.82,-102.69,32.93,-102.58,,,,,,,
158549,2021-05-16 08,2021-05-16 22,KS,3,5,0,0,0,3,20105;20167;20169,38.86,-98.95,39.13,-97.62,,,,,,,
157424,2021-05-16 10,2021-05-16 18,KS,2,2,0,0,2000000,2,20141;20163,39.18,-99.37,39.31,-98.96,,,,,,,
158547,2021-05-16 11,2021-05-16 19,KS,2,2,0,0,0,2,20061;20143,38.91,-97.61,39.06,-96.61,,,,,,,
158740,2021-05-16 15,2021-05-16 18,TX,4,4,0,0,0,3,48239;48321;48481,28.94,-96.43,29.13,-96.2,,,,,,,
